Compound_ID,Protein_ID,Label
7589,2171,1
147,576,1
1005,836,1
4021,3334,1
1676,1529,1
592,963,1
1521,1655,1
10559,766,1
12866,4036,1
7319,1529,1
6868,3579,1
13163,1519,1
9474,729,1
1494,771,1
580,1074,1
1146,1485,1
332,743,1
9227,4235,1
7403,3859,1
455,1079,1
6212,915,1
4522,2983,1
4629,894,1
6855,3236,1
1915,1178,1
10518,886,1
9458,906,1
4463,3571,1
8217,814,1
11293,882,1
1771,1924,1
14505,57,1
10045,3820,1
7318,1950,1
1084,728,1
7820,885,1
8109,759,1
7529,2399,1
1304,731,1
464,1020,1
1309,846,1
9681,1557,1
1176,731,1
978,975,1
6296,1444,1
4021,3347,1
1889,2064,1
5700,861,1
383,1031,1
1288,908,1
3294,3018,1
3951,3288,1
816,1327,1
742,1149,1
7796,4096,1
4286,1780,1
5110,12,1
1046,328,1
9227,4248,1
7308,2063,1
436,813,1
7220,1950,1
6824,1950,1
7617,3801,1
8259,824,1
7734,2171,1
8345,73,1
889,795,1
6859,3893,1
7161,3935,1
4942,320,1
105,161,1
1607,257,1
690,814,1
387,1042,1
6478,0,1
970,868,1
7632,1076,1
478,931,1
6422,334,1
968,795,1
1042,744,1
2000,2174,1
6045,118,1
11924,883,1
494,875,1
948,328,1
6323,328,1
2732,1534,1
1889,2077,1
1352,906,1
7981,937,1
1675,1825,1
2962,2750,1
138,459,1
7602,4058,1
6447,1037,1
10129,4591,1
547,1152,1
984,924,1
6015,885,1
5445,998,1
6027,2171,1
1138,573,1
4061,2614,1
5984,0,1
1768,1908,1
4832,1185,1
787,760,1
3760,1868,1
3106,1115,1
105,174,1
5406,1191,1
1933,1423,1
1852,2023,1
13424,3592,1
2572,2578,1
208,760,1
12438,1346,1
1168,573,1
1140,740,1
12031,699,1
10844,1432,1
185,776,1
2962,2763,1
3643,1175,1
1148,860,1
993,1215,1
4379,2263,1
7794,40,1
817,760,1
1649,1785,1
7499,1849,1
9870,408,1
11979,4151,1
12492,535,1
11922,648,1
2304,1716,1
7782,2137,1
6519,3555,1
350,1001,1
3732,816,1
2032,2196,1
652,814,1
1390,743,1
2517,1716,1
1128,743,1
9681,4269,1
994,285,1
1023,986,1
12592,69,1
9283,1227,1
351,822,1
1096,1464,1
3816,177,1
1187,828,1
7666,4069,1
8452,4224,1
147,497,1
7325,4005,1
8149,4186,1
4061,1930,1
2041,1908,1
10045,4438,1
6691,3867,1
6178,2299,1
1018,763,1
2943,1716,1
7141,168,1
3457,2166,1
10045,1176,1
977,1405,1
521,1125,1
10008,1523,1
12484,135,1
1341,864,1
9662,886,1
918,532,1
1038,826,1
565,902,1
1989,1573,1
11154,3943,1
10748,1040,1
9681,4282,1
4282,478,1
1902,2099,1
489,769,1
2251,2253,1
1232,813,1
580,887,1
7913,1034,1
1141,954,1
12438,1601,1
6980,2815,1
11130,287,1
147,510,1
6222,1187,1
1568,1701,1
1547,824,1
530,248,1
926,248,1
3677,260,1
2875,1787,1
4250,2108,1
1335,941,1
4678,828,1
6360,74,1
6919,1529,1
5972,3641,1
5907,1031,1
4021,1992,1
425,905,1
6481,1532,1
7128,885,1
3188,2957,1
4017,301,1
9509,886,1
557,795,1
235,744,1
4371,533,1
3581,3117,1
3039,2834,1
7010,2815,1
150,148,1
2316,2210,1
10196,769,1
1431,770,1
2728,2154,1
116,271,1
374,795,1
4173,1716,1
8051,752,1
167,731,1
4503,3577,1
2559,396,1
3961,3294,1
4061,3232,1
4222,2103,1
170,736,1
235,865,1
2893,915,1
3631,2830,1
3244,206,1
5414,990,1
6246,1786,1
4324,838,1
191,795,1
1521,1602,1
550,1142,1
8166,1348,1
7066,478,1
3737,260,1
496,1027,1
5592,3598,1
8364,286,1
6103,1858,1
590,396,1
7474,3457,1
4757,1521,1
6801,3886,1
6120,1273,1
584,847,1
1329,735,1
7313,3997,1
286,924,1
2710,807,1
2978,1790,1
2369,2463,1
14270,861,1
3594,1793,1
160,290,1
9681,3719,1
813,1084,1
118,293,1
1496,848,1
10611,1640,1
857,861,1
12460,1551,1
9635,341,1
5751,1039,1
1972,1716,1
831,845,1
129,344,1
7897,648,1
6510,3242,1
2601,1695,1
7933,76,1
2422,232,1
1520,1592,1
3634,0,1
1027,1430,1
2930,1870,1
3584,408,1
2556,1400,1
1861,838,1
6947,1967,1
1661,1716,1
6618,745,1
3417,1170,1
13186,4701,1
2556,2568,1
2251,1932,1
8460,882,1
3262,515,1
6863,3895,1
2176,2283,1
5710,1243,1
6200,3322,1
10055,4589,1
2505,2458,1
564,743,1
528,820,1
4007,339,1
1056,1205,1
844,797,1
3516,2731,1
2595,2122,1
11146,886,1
568,1158,1
2333,2122,1
6543,3846,1
4222,3418,1
4370,3545,1
12484,56,1
7859,1308,1
11921,882,1
133,412,1
952,1269,1
3784,3192,1
6502,3256,1
6256,3789,1
6896,177,1
3193,1933,1
500,1108,1
579,1172,1
1754,1893,1
6637,2168,1
603,68,1
978,1406,1
236,769,1
3018,2346,1
865,977,1
189,199,1
474,826,1
6766,1989,1
1217,870,1
2590,327,1
147,202,1
3968,882,1
597,286,1
652,869,1
1944,2138,1
12493,936,1
160,666,1
5831,728,1
848,286,1
2317,2420,1
8112,562,1
954,1170,1
14448,1243,1
3968,1821,1
2911,2341,1
12438,1643,1
6087,3808,1
1347,872,1
1839,809,1
1548,862,1
1849,2022,1
6887,2171,1
1868,2035,1
1245,861,1
2604,2598,1
1233,1524,1
133,425,1
10045,4493,1
1203,864,1
680,823,1
3610,1066,1
1423,867,1
927,929,1
8427,4222,1
3950,2154,1
11997,890,1
7623,1687,1
1621,1754,1
425,947,1
351,769,1
934,824,1
6713,419,1
9662,941,1
2217,2310,1
1332,870,1
231,852,1
10530,4134,1
6202,883,1
12589,886,1
6448,2107,1
9681,4337,1
187,782,1
4373,2112,1
1694,1222,1
489,824,1
687,839,1
3999,1413,1
3018,2709,1
10762,4642,1
3584,3120,1
12438,1656,1
1242,832,1
4170,3446,1
2687,394,1
1345,287,1
1971,978,1
6092,1950,1
818,770,1
2731,2652,1
147,565,1
8149,53,1
1521,1644,1
3985,2417,1
377,1027,1
1521,1415,1
3723,3171,1
6572,2523,1
2962,2255,1
1102,1468,1
3237,2231,1
135,447,1
310,973,1
132,149,1
5524,796,1
2346,2437,1
4261,716,1
7432,2105,1
13746,1041,1
702,945,1
891,1369,1
12484,1600,1
2451,1443,1
6697,838,1
6174,1551,1
2337,2324,1
907,1084,1
6445,1785,1
3444,3059,1
6144,396,1
6995,3915,1
2732,2099,1
1152,363,1
450,845,1
4232,2122,1
1107,886,1
147,578,1
4021,3336,1
10230,1532,1
6374,40,1
10045,3930,1
7406,1944,1
1191,964,1
2787,2681,1
4294,906,1
5116,1509,1
1322,895,1
474,1094,1
274,740,1
6855,3238,1
6325,40,1
3204,2969,1
12484,1613,1
443,963,1
1878,2052,1
1771,1926,1
742,1259,1
2760,2669,1
10045,1836,1
10045,3822,1
2863,1858,1
3204,1922,1
445,743,1
6484,1726,1
4899,878,1
1112,1206,1
697,964,1
4061,2482,1
7779,1529,1
10045,789,1
480,966,1
380,1028,1
389,848,1
1889,2066,1
4566,668,1
7756,2299,1
9681,512,1
7886,837,1
1067,911,1
11979,515,1
7386,3934,1
4239,1707,1
753,980,1
3060,2264,1
6002,3793,1
2678,1704,1
6456,1785,1
4995,3676,1
2063,125,1
7382,1950,1
396,864,1
8149,1597,1
1191,1098,1
3520,2141,1
4891,1488,1
3122,1048,1
11969,628,1
2000,2176,1
2251,1758,1
1138,454,1
5952,2107,1
269,759,1
7595,1950,1
11924,885,1
683,813,1
287,813,1
2797,2685,1
2962,2752,1
1379,745,1
680,744,1
138,461,1
8068,827,1
983,287,1
3214,2973,1
4570,800,1
2254,716,1
3634,1115,1
5499,68,1
528,875,1
3332,2736,1
670,1224,1
6229,816,1
1000,870,1
10246,684,1
7928,1197,1
6952,2608,1
1928,2128,1
3060,1230,1
2141,960,1
119,303,1
105,176,1
2092,2236,1
757,819,1
1046,693,1
710,744,1
211,831,1
448,478,1
10922,1317,1
6808,1287,1
3434,1821,1
4442,628,1
5359,788,1
3172,1821,1
2962,2765,1
2208,2303,1
8149,4175,1
859,988,1
10975,133,1
2840,301,1
2272,1012,1
1921,260,1
3743,1529,1
11979,4153,1
2459,838,1
7397,4018,1
1521,289,1
5309,334,1
400,824,1
2549,502,1
3497,1473,1
10045,4548,1
6540,3845,1
895,766,1
2722,2645,1
1530,1048,1
6421,2167,1
3549,3097,1
9681,4271,1
555,1112,1
1307,747,1
6412,132,1
2389,2472,1
10140,4593,1
7038,3038,1
1064,760,1
2215,104,1
1220,1502,1
6566,3753,1
351,824,1
7894,515,1
2293,1192,1
10670,328,1
6033,257,1
8149,4188,1
348,260,1
10045,4440,1
284,770,1
4134,1922,1
7981,376,1
3026,1716,1
5555,861,1
2251,2363,1
522,827,1
1466,861,1
6184,3809,1
425,894,1
5585,740,1
2140,2266,1
3845,3216,1
1047,648,1
161,555,1
5176,1215,1
1862,2029,1
1038,828,1
2192,1904,1
1351,1059,1
5456,1269,1
1519,872,1
1032,1050,1
9681,4284,1
4292,3154,1
6527,886,1
1243,1233,1
1840,1223,1
434,835,1
10045,1528,1
3297,2071,1
2347,502,1
12044,4682,1
2633,859,1
6186,327,1
3885,2241,1
3262,1067,1
5356,1038,1
8081,620,1
147,512,1
4061,2174,1
8149,0,1
7371,1921,1
5998,1444,1
4432,1821,1
297,951,1
12484,1655,1
1099,141,1
8222,744,1
8244,1028,1
12975,4144,1
1356,477,1
8149,1168,1
3109,2895,1
8074,1519,1
4431,3555,1
7922,4131,1
7929,872,1
3968,3299,1
7564,2171,1
7737,4085,1
3573,1723,1
4581,1284,1
7255,3816,1
2437,1684,1
116,273,1
8080,1684,1
11979,328,1
8183,873,1
12825,1059,1
2720,989,1
4031,2537,1
3172,2318,1
235,867,1
1138,375,1
5417,243,1
5747,2104,1
3219,1841,1
788,787,1
1521,1604,1
8088,986,1
6025,328,1
2337,177,1
2906,334,1
8224,766,1
777,1308,1
5832,872,1
4202,3479,1
1208,1494,1
10703,4264,1
12468,1027,1
584,849,1
226,387,1
7313,3999,1
341,862,1
4525,3580,1
3794,3132,1
1729,1876,1
10958,3736,1
478,1096,1
5841,813,1
9681,1506,1
118,295,1
1680,671,1
1496,850,1
706,731,1
6795,3521,1
549,747,1
3262,2719,1
6414,3829,1
12460,1553,1
378,865,1
880,1032,1
1310,845,1
5978,0,1
10045,4119,1
181,765,1
2180,1933,1
831,847,1
1636,1769,1
2524,245,1
9740,1039,1
607,873,1
1520,1594,1
904,1325,1
1322,1084,1
1884,2056,1
661,1109,1
1168,388,1
322,862,1
3469,1857,1
11922,1281,1
341,875,1
470,760,1
12025,699,1
965,968,1
5886,303,1
2556,2570,1
2057,671,1
1286,1548,1
5040,1006,1
6554,2388,1
5721,3619,1
819,850,1
2660,2627,1
6829,2327,1
348,999,1
9209,477,1
7347,4010,1
10703,4627,1
6176,2213,1
7105,1444,1
3724,2268,1
10002,3762,1
5959,0,1
3626,1696,1
6809,399,1
2354,76,1
9632,287,1
2911,933,1
1056,1207,1
8112,551,1
7860,744,1
267,0,1
4625,619,1
4845,622,1
1660,1321,1
2725,2648,1
12979,4467,1
1233,1513,1
133,414,1
10045,4482,1
6502,3258,1
666,648,1
3324,2684,1
3465,408,1
500,1110,1
13387,4706,1
1938,1716,1
579,1174,1
472,1048,1
632,771,1
10888,4649,1
7369,4011,1
2675,1191,1
7341,1734,1
9681,2929,1
474,828,1
152,548,1
9971,4425,1
1193,286,1
1614,1740,1
8247,1018,1
330,820,1
1944,2140,1
9681,4326,1
321,771,1
1284,818,1
13613,3827,1
6738,882,1
12438,1645,1
227,843,1
3489,1825,1
8105,790,1
2604,2600,1
147,554,1
565,838,1
10045,4495,1
1316,743,1
1949,390,1
1264,287,1
1541,861,1
1326,936,1
6539,2106,1
622,820,1
658,248,1
5816,728,1
1905,1515,1
527,731,1
3154,2185,1
1621,1756,1
1908,1786,1
805,941,1
939,941,1
433,1069,1
3881,3224,1
7442,338,1
688,770,1
7011,1283,1
4134,2098,1
6923,1170,1
9681,4339,1
4177,3222,1
2738,2657,1
869,818,1
673,906,1
3584,3122,1
12438,1658,1
6951,2171,1
464,769,1
3019,1889,1
6787,2477,1
4254,1870,1
1341,813,1
713,1244,1
147,567,1
2731,2654,1
6344,2173,1
3643,1716,1
11979,1080,1
9792,127,1
4093,2218,1
6746,3873,1
10748,3433,1
1376,770,1
388,895,1
1568,940,1
3572,1957,1
3826,3005,1
2346,2439,1
2186,989,1
852,477,1
2349,2444,1
10499,864,1
2159,1795,1
3238,1788,1
12438,732,1
891,1371,1
779,901,1
12484,1602,1
2983,515,1
6007,2608,1
4813,2399,1
6234,3819,1
2412,928,1
450,847,1
4607,1247,1
3657,1893,1
5365,108,1
4021,3338,1
1521,1659,1
738,1250,1
5655,3590,1
2274,2391,1
5094,813,1
149,626,1
880,845,1
1584,1715,1
5649,806,1
8183,820,1
1168,1248,1
3938,307,1
9227,4239,1
3170,1896,1
6171,2608,1
7188,1723,1
1477,771,1
235,814,1
3201,2966,1
14520,2140,1
4312,1191,1
6855,3240,1
6987,3396,1
134,439,1
2612,1110,1
356,286,1
8427,2614,1
1142,966,1
10180,77,1
7470,4038,1
443,965,1
4352,1529,1
3903,2191,1
742,1261,1
105,152,1
7760,2299,1
776,845,1
7574,1880,1
6817,3887,1
4217,1075,1
2990,918,1
1593,838,1
3443,2435,1
3272,1799,1
7236,838,1
6269,3789,1
389,850,1
697,966,1
380,1030,1
1810,1775,1
1889,2068,1
3186,1732,1
402,1048,1
7886,839,1
7094,2825,1
11154,3558,1
5547,771,1
5389,828,1
1179,861,1
117,283,1
1749,1886,1
999,1388,1
7599,1950,1
3466,1907,1
1840,2004,1
2962,2633,1
1265,1544,1
3930,321,1
8149,1599,1
2951,0,1
1246,1036,1
105,165,1
6285,3073,1
982,963,1
853,287,1
7606,4060,1
4925,320,1
3557,978,1
1071,1449,1
8230,477,1
2297,2401,1
287,815,1
4134,2716,1
4194,3255,1
2962,2754,1
1587,1716,1
503,1113,1
138,463,1
1311,1552,1
6459,2327,1
4222,321,1
7833,1191,1
8425,837,1
2936,2738,1
2358,775,1
6057,1529,1
4350,735,1
10174,1039,1
883,287,1
3092,245,1
3985,3266,1
2581,2281,1
184,286,1
4407,1269,1
2672,1874,1
4392,1146,1
5446,823,1
5964,2506,1
2671,2174,1
1253,271,1
119,305,1
2975,2814,1
12755,118,1
738,808,1
2092,2238,1
817,872,1
6125,882,1
834,287,1
827,1331,1
3399,2095,1
1322,1273,1
5768,3762,1
14961,4733,1
145,479,1
8226,1014,1
4265,1980,1
4621,861,1
2976,2177,1
10818,4645,1
4376,3245,1
8149,4177,1
4510,3245,1
7944,1035,1
3766,1515,1
1668,1802,1
8149,3130,1
1153,390,1
2729,2650,1
6812,886,1
695,478,1
2412,2485,1
6161,3814,1
10045,4550,1
1162,883,1
704,1237,1
4651,861,1
6268,3159,1
6906,3904,1
7338,1346,1
12534,886,1
9681,4273,1
3533,3091,1
2251,2244,1
2389,2474,1
3266,532,1
4420,3557,1
2567,494,1
3525,1695,1
4277,3508,1
10975,1195,1
469,781,1
3834,3204,1
147,501,1
8149,4190,1
4250,2099,1
10045,4442,1
12484,1415,1
1119,1048,1
2251,2365,1
3252,489,1
2333,2434,1
6531,886,1
6882,177,1
2207,2029,1
8236,1570,1
469,902,1
221,837,1
2451,2426,1
4846,3557,1
1969,2157,1
224,842,1
6970,1687,1
10129,999,1
3047,2191,1
2484,1785,1
3432,2527,1
2921,1786,1
4263,469,1
9681,4286,1
8294,730,1
116,262,1
1902,2103,1
3159,2597,1
2825,1031,1
9685,729,1
6495,3299,1
3647,1139,1
3667,300,1
1160,648,1
3006,325,1
8228,1049,1
3751,3182,1
763,194,1
880,779,1
1028,1431,1
3106,2892,1
3125,2905,1
2061,2217,1
1521,546,1
7016,648,1
1811,1813,1
8149,2567,1
6609,1950,1
1005,895,1
9797,768,1
3968,3301,1
14268,806,1
4371,1705,1
6859,3818,1
314,977,1
6865,2815,1
7218,1950,1
7732,2171,1
4280,3509,1
6460,551,1
7449,4034,1
7831,4099,1
235,869,1
8305,986,1
7429,2106,1
6331,1834,1
12484,1670,1
3903,2475,1
5663,1146,1
1256,1537,1
7145,1529,1
4397,2229,1
304,861,1
10703,1112,1
7855,413,1
780,561,1
857,744,1
6963,2949,1
1755,1894,1
736,454,1
5443,769,1
7313,4001,1
2970,1933,1
5449,291,1
445,921,1
1130,795,1
159,564,1
4101,1076,1
1305,1550,1
118,297,1
1926,2126,1
6453,3557,1
3342,2973,1
857,865,1
714,328,1
10703,4616,1
9227,1274,1
6357,816,1
438,918,1
7322,3188,1
7427,1255,1
1310,847,1
1301,1027,1
5776,1036,1
